
Signature #1
P15066_at 0.4708119 
P15604_x_at 0.4065384 
P17989_at 0.6553418 
P18164_at 0.5821367 
P22155_s_at 0.4220085 
P22168_at 0.1732051 
P7152_at 0.1821367 

--
@probeset predictionMCC  ZhangL 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.3652126 
P01911_s_at 0.5568793 
P02688_at 0.2665683 
P04511_at 0.4154215 
P04999_s_at 0.5267217 
P07730_x_at 0.516176 
P08471_at 0.5919231 
P09985_s_at 0.2778094 
P10065_s_at 0.6908096 
P11013_x_at 0.7636231 
P11838_x_at 0.6429125 
P12976_at 0.1855093 
P13439_x_at 0.2620109 
P13770_at 0.577443 
P14730_s_at 0.498399 
P14734_at 0.5617656 
P15066_at 0.3779564 
P15604_x_at 0.104044 
P17989_at 0.584605 
P18164_at -0.0008682084 
P22155_s_at 0.4587109 
P22168_at 0.4474096 
P7152_at 0.3046669 


